# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
        0.868343     0.000993922     0.000267048     0.000983941     0.000266984     0.000983335     0.000267038
        0.917014     0.000877929     0.000235883     0.000869113     0.000235826     0.000868575     0.000235874
        0.968414     0.000774968     0.000208219     0.000767187     0.000208169      0.00076671     0.000208211
         1.02269     0.000683642     0.000183682     0.000676778     0.000183637     0.000676356     0.000183675
         1.08002     0.000602682     0.000161929     0.000596632      0.00016189     0.000596259     0.000161923
         1.14055     0.000530978     0.000142664     0.000525648     0.000142629     0.000525318     0.000142658
         1.20448     0.000467538     0.000125618     0.000462845     0.000125588     0.000462553     0.000125613
         1.27199     0.000411434     0.000110544     0.000407304     0.000110517     0.000407047      0.00011054
         1.34329     0.000361849     9.72218e-05     0.000358218     9.71983e-05     0.000357991     9.72181e-05
         1.41858     0.000318066     8.54581e-05     0.000314874     8.54374e-05     0.000314674     8.54548e-05
          1.4981     0.000279427     7.50766e-05     0.000276624     7.50585e-05     0.000276447     7.50737e-05
         1.58206     0.000245352     6.59213e-05     0.000242891     6.59054e-05     0.000242735     6.59188e-05
         1.67074     0.000215322     5.78528e-05     0.000213162     5.78389e-05     0.000213026     5.78506e-05
         1.76439     0.000188872     5.07461e-05     0.000186977     5.07339e-05     0.000186857     5.07442e-05
         1.86328     0.000165588     4.44902e-05     0.000163927     4.44795e-05     0.000163822     4.44885e-05
         1.96772     0.000145105     3.89867e-05     0.000143649     3.89774e-05     0.000143557     3.89852e-05
         2.07801     0.000127096     3.41481e-05     0.000125821     3.41399e-05      0.00012574     3.41468e-05
         2.19449     0.000111271     2.98963e-05     0.000110155     2.98892e-05     0.000110084     2.98952e-05
         2.31749     9.73726e-05     2.61621e-05     9.63963e-05     2.61558e-05     9.63339e-05     2.61611e-05
         2.44739     8.51728e-05     2.28842e-05     8.43188e-05     2.28787e-05     8.42641e-05     2.28834e-05
         2.58456     7.44699e-05     2.00086e-05     7.37234e-05     2.00038e-05     7.36755e-05     2.00078e-05
         2.72943     6.50847e-05     1.74869e-05     6.44323e-05     1.74828e-05     6.43903e-05     1.74863e-05
         2.88242     5.68588e-05     1.52768e-05      5.6289e-05     1.52732e-05     5.62523e-05     1.52763e-05
         3.04398     4.96527e-05     1.33407e-05     4.91552e-05     1.33375e-05      4.9123e-05     1.33402e-05
          3.2146     4.33433e-05     1.16455e-05      4.2909e-05     1.16427e-05     4.28809e-05      1.1645e-05
         3.39478     3.78209e-05     1.01617e-05      3.7442e-05     1.01593e-05     3.74174e-05     1.01613e-05
         3.58506     3.29898e-05      8.8637e-06     3.26594e-05     8.86161e-06     3.26379e-05     8.86337e-06
           3.786     2.87654e-05      7.7287e-06     2.84774e-05     7.72688e-06     2.84586e-05     7.72842e-06
         3.99821      2.5073e-05     6.73662e-06      2.4822e-05     6.73504e-06     2.48055e-05     6.73637e-06
         4.22232     2.18469e-05     5.86982e-06     2.16282e-05     5.86845e-06     2.16138e-05      5.8696e-06
         4.45898     1.90294e-05     5.11282e-06      1.8839e-05     5.11163e-06     1.88264e-05     5.11263e-06
         4.70891     1.65697e-05     4.45196e-06      1.6404e-05     4.45093e-06      1.6393e-05      4.4518e-06
         4.97285     1.44232e-05     3.87523e-06      1.4279e-05     3.87434e-06     1.42694e-05     3.87509e-06
         5.25158     1.25508e-05     3.37215e-06     1.24253e-05     3.37138e-06     1.24169e-05     3.37203e-06
         5.54593      1.0918e-05     2.93346e-06     1.08089e-05     2.93279e-06     1.08016e-05     2.93335e-06
